X,Y,TrafficID,IntersectionID,lat,lon,intersection,TOOLTIP,NLA_URL,Primary.Street,Cross.Street,Extra.Street,Primary.Street.Upper,Cross.Street.Upper
-118.3765932,34.07813136,1017,13441,34.07812647,-118.376581,OAKWOOD AVE AT LA CIENEGA BLVD,Location: OAKWOOD AVE AT LA CIENEGA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1017,OAKWOOD AVE,LA CIENEGA BLVD,,OAKWOOD AVE,LA CIENEGA BLVD
-118.3816522,34.07528488,1018,13460,34.07528,-118.38164,ALDEN DR at GEORGE BURNS ROAD,Location: ALDEN DR at GEORGE BURNS ROAD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1018,ALDEN DR,GEORGE BURNS ROAD,,ALDEN DR,GEORGE BURNS ROAD
-118.3614322,34.07430489,1019,13461,34.0743,-118.36142,1ST ST at FAIRFAX AVE,Location: 1ST ST at FAIRFAX AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1019,1ST ST,FAIRFAX AVE,,1ST ST,FAIRFAX AVE
-118.3867922,34.07359488,1020,13464,34.07359,-118.38678,3RD ST at LAPEER DR,Location: 3RD ST at LAPEER DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1020,3RD ST,LAPEER DR,,3RD ST,LAPEER DR
-118.3721322,34.07290489,1021,13472,34.0729,-118.37212,3RD ST at KINGS ROAD,Location: 3RD ST at KINGS ROAD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1021,3RD ST,KINGS ROAD,,3RD ST,KINGS ROAD
-118.3614222,34.07152489,1022,13485,34.07152,-118.36141,3RD ST at FAIRFAX AVE,Location: 3RD ST at FAIRFAX AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1022,3RD ST,FAIRFAX AVE,,3RD ST,FAIRFAX AVE
-118.3641522,34.07021489,1023,13489,34.07021,-118.36414,4TH ST at EDINBURGH AVE,Location: 4TH ST at EDINBURGH AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1023,4TH ST,EDINBURGH AVE,,4TH ST,EDINBURGH AVE
-118.3614122,34.06990489,1024,13490,34.0699,-118.3614,4TH ST at FAIRFAX AVE,Location: 4TH ST at FAIRFAX AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1024,4TH ST,FAIRFAX AVE,,4TH ST,FAIRFAX AVE
-118.3451321,34.06889489,1025,13497,34.06889,-118.34512,3RD ST at DETROIT ST,Location: 3RD ST at DETROIT ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1025,3RD ST,DETROIT ST,,3RD ST,DETROIT ST
-118.3451221,34.06688489,1026,13500,34.06688,-118.34511,4TH ST at DETROIT ST,Location: 4TH ST at DETROIT ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1026,4TH ST,DETROIT ST,,4TH ST,DETROIT ST
-118.3404722,34.09437489,1027,13520,34.09437,-118.34046,FOUNTAIN AVE at MANSFIELD AVE,Location: FOUNTAIN AVE at MANSFIELD AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1027,FOUNTAIN AVE,MANSFIELD AVE,,FOUNTAIN AVE,MANSFIELD AVE
-118.4453522,34.06368488,1028,13531,34.06368,-118.44534,LE CONTE AVE AT WESTWOOD BLVD,Location: LE CONTE AVE AT WESTWOOD BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1028,LE CONTE AVE,WESTWOOD BLVD,,LE CONTE AVE,WESTWOOD BLVD
-118.3596622,34.06211488,1029,13540,34.06211,-118.35965,GENESEE AVE at OGDEN DR,Location: GENESEE AVE at OGDEN DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1029,GENESEE AVE,OGDEN DR,,GENESEE AVE,OGDEN DR
-118.5539491,34.04185255,1030,13569,34.04184768,-118.5539369,LOS LIONES DR AT SUNSET BLVD,Location: LOS LIONES DR AT SUNSET BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1030,LOS LIONES DR,SUNSET BLVD,,LOS LIONES DR,SUNSET BLVD
-118.5545805,34.03959407,1031,13578,34.0395892,-118.5545684,CASTELLAMMARE DR AT SUNSET BLVD,Location: CASTELLAMMARE DR AT SUNSET BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1031,CASTELLAMMARE DR,SUNSET BLVD,,CASTELLAMMARE DR,SUNSET BLVD
-118.5470222,34.05286487,1032,13653,34.05286,-118.54701,EL ORO LANE at JACON WAY,Location: EL ORO LANE at JACON WAY,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1032,EL ORO LANE,JACON WAY,,EL ORO LANE,JACON WAY
-118.5333222,34.04876487,1033,13675,34.04876,-118.53331,EL MEDIO AVE at SUNSET BLVD,Location: EL MEDIO AVE at SUNSET BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1033,EL MEDIO AVE,SUNSET BLVD,,EL MEDIO AVE,SUNSET BLVD
-118.5387122,34.04848487,1034,13681,34.04848,-118.5387,LAS LOMAS AVE at SUNSET BLVD,Location: LAS LOMAS AVE at SUNSET BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1034,LAS LOMAS AVE,SUNSET BLVD,,LAS LOMAS AVE,SUNSET BLVD
-118.5457822,34.04732487,1035,13693,34.04732,-118.54577,EDGAR ST at MARQUEZ AVE,Location: EDGAR ST at MARQUEZ AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1035,EDGAR ST,MARQUEZ AVE,,EDGAR ST,MARQUEZ AVE
-118.5469322,34.04613487,1036,13704,34.04613,-118.54692,IDA ST at MARQUEZ AVE,Location: IDA ST at MARQUEZ AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1036,IDA ST,MARQUEZ AVE,,IDA ST,MARQUEZ AVE
-118.5094022,34.03436487,1037,13954,34.03436,-118.50939,ENTRADA DR at SAN LORENZO ST,Location: ENTRADA DR at SAN LORENZO ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1037,ENTRADA DR,SAN LORENZO ST,,ENTRADA DR,SAN LORENZO ST
-118.4759564,34.06032617,1038,13968,34.06032129,-118.4759442,SUNSET BLVD AT BUNDY DR,Location: SUNSET BLVD AT BUNDY DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1038,SUNSET BLVD,BUNDY DR,,SUNSET BLVD,BUNDY DR
-118.4716922,34.06028488,1039,13970,34.06028,-118.47168,KEARSARGE ST at WESTGATE AVE,Location: KEARSARGE ST at WESTGATE AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1039,KEARSARGE ST,WESTGATE AVE,,KEARSARGE ST,WESTGATE AVE
-118.4477274,34.05772581,1040,13997,34.05772093,-118.4477153,VETERAN AVE AT WILSHIRE BLVD,Location: VETERAN AVE AT WILSHIRE BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1040,VETERAN AVE,WILSHIRE BLVD,,VETERAN AVE,WILSHIRE BLVD
-118.4793922,34.05818488,1041,14004,34.05818,-118.47938,GRETNA GREEN WAY at SUNSET BLVD,Location: GRETNA GREEN WAY at SUNSET BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1041,GRETNA GREEN WAY,SUNSET BLVD,,GRETNA GREEN WAY,SUNSET BLVD
-118.4782522,34.05850488,1042,14008,34.0585,-118.47824,KENTER AVE AT SUNSET BLVD,Location: KENTER AVE AT SUNSET BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1042,KENTER AVE,SUNSET BLVD,,KENTER AVE,SUNSET BLVD
-118.4671858,34.05489306,1043,14026,34.05488818,-118.4671736,MONTANA AVE AT BARRINGTON AVE,Location: MONTANA AVE AT BARRINGTON AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1043,MONTANA AVE,BARRINGTON AVE,,MONTANA AVE,BARRINGTON AVE
-118.4725918,34.05052168,1044,14101,34.0505168,-118.4725797,MONTANA AVE AT BUNDY DR,Location: MONTANA AVE AT BUNDY DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1044,MONTANA AVE,BUNDY DR,,MONTANA AVE,BUNDY DR
-118.4590058,34.04717827,1045,14119,34.04717339,-118.4589937,BARRINGTON AVE AT TEXAS AVE,Location: BARRINGTON AVE AT TEXAS AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1045,BARRINGTON AVE,TEXAS AVE,,BARRINGTON AVE,TEXAS AVE
-118.4609333,34.04941272,1046,14120,34.04940784,-118.4609211,BARRINGTON AVE AT WILSHIRE BLVD,Location: BARRINGTON AVE AT WILSHIRE BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1046,BARRINGTON AVE,WILSHIRE BLVD,,BARRINGTON AVE,WILSHIRE BLVD
-118.4460492,34.0471481,1047,14123,34.04714322,-118.446037,COTNER AVE AT SAN DIEGO FRWY,Location: COTNER AVE AT SAN DIEGO FRWY,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1047,COTNER AVE,SAN DIEGO FRWY,,COTNER AVE,SAN DIEGO FRWY
-118.4500494,34.04836956,1048,14124,34.04836468,-118.4500373,SAWTELLE BLVD AT OHIO AVE,Location: SAWTELLE BLVD AT OHIO AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1048,SAWTELLE BLVD,OHIO AVE,,SAWTELLE BLVD,OHIO AVE
-118.4473118,34.04679751,1049,14131,34.04679263,-118.4472996,SAN DIEGO FRWY AT BELOIT AVE,Location: SAN DIEGO FRWY AT BELOIT AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1049,SAN DIEGO FRWY,BELOIT AVE,,SAN DIEGO FRWY,BELOIT AVE
-118.4484272,34.04648761,1050,14139,34.04648273,-118.4484151,SANTA MONICA BLVD AT SAWTELLE BLVD,Location: SANTA MONICA BLVD AT SAWTELLE BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1050,SANTA MONICA BLVD,SAWTELLE BLVD,,SANTA MONICA BLVD,SAWTELLE BLVD
-118.4609122,34.04604488,1051,14146,34.04604,-118.4609,GRANVILLE AVE at TEXAS AVE,Location: GRANVILLE AVE at TEXAS AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1051,GRANVILLE AVE,TEXAS AVE,,GRANVILLE AVE,TEXAS AVE
-118.4530046,34.04510548,1052,14162,34.0451006,-118.4529924,COLBY AVE AT SANTA MONICA BLVD,Location: COLBY AVE AT SANTA MONICA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1052,COLBY AVE,SANTA MONICA BLVD,,COLBY AVE,SANTA MONICA BLVD
-118.4547322,34.04557488,1053,14171,34.04557,-118.45472,FEDERAL AVE AT OHIO AVE,Location: FEDERAL AVE AT OHIO AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1053,FEDERAL AVE,OHIO AVE,,FEDERAL AVE,OHIO AVE
-118.4539622,34.04468488,1054,14172,34.04468,-118.45395,FEDERAL AVE AT SANTA MONICA BLVD,Location: FEDERAL AVE AT SANTA MONICA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1054,FEDERAL AVE,SANTA MONICA BLVD,,FEDERAL AVE,SANTA MONICA BLVD
-118.2015921,34.1066849,1055,16059,34.10668,-118.20158,AVENUE 51 at MARMION WAY,Location: AVENUE 51 at MARMION WAY,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1055,AVENUE 51,MARMION WAY,,AVENUE 51,MARMION WAY
-118.2221221,34.1251649,1056,16115,34.12516,-118.22211,ELLENWOOD DR at YORK BLVD,Location: ELLENWOOD DR at YORK BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1056,ELLENWOOD DR,YORK BLVD,,ELLENWOOD DR,YORK BLVD
-118.1749821,34.1162949,1057,16197,34.11629,-118.17497,ELGIN ST at SAN PASCUAL AVE,Location: ELGIN ST at SAN PASCUAL AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1057,ELGIN ST,SAN PASCUAL AVE,,ELGIN ST,SAN PASCUAL AVE
-118.2760221,34.1531649,1058,16341,34.15316,-118.27601,DORAN ST at SAN FERNANDO ROAD WEST,Location: DORAN ST at SAN FERNANDO ROAD WEST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1058,DORAN ST,SAN FERNANDO ROAD WEST,,DORAN ST,SAN FERNANDO ROAD WEST
-118.2713821,34.1448549,1059,16350,34.14485,-118.27137,ELECTRONICS PL at SAN FERNANDO ROAD WEST,Location: ELECTRONICS PL at SAN FERNANDO ROAD WEST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1059,ELECTRONICS PL,SAN FERNANDO ROAD WEST,,ELECTRONICS PL,SAN FERNANDO ROAD WEST
-118.2678921,34.1370949,1060,16351,34.13709,-118.26788,ALGER ST at GOODWIN AVE,Location: ALGER ST at GOODWIN AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1060,ALGER ST,GOODWIN AVE,,ALGER ST,GOODWIN AVE
-118.1901921,34.1352049,1061,16474,34.1352,-118.19018,GENEVIEVE AVE at NEOLA ST,Location: GENEVIEVE AVE at NEOLA ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1061,GENEVIEVE AVE,NEOLA ST,,GENEVIEVE AVE,NEOLA ST
-118.2069721,34.1335649,1062,16517,34.13356,-118.20696,LA RODA AVE at YOSEMITE DR,Location: LA RODA AVE at YOSEMITE DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1062,LA RODA AVE,YOSEMITE DR,,LA RODA AVE,YOSEMITE DR
-118.2182921,34.1318849,1063,16522,34.13188,-118.21828,ELLENWOOD DR at LAS COLINAS AVE,Location: ELLENWOOD DR at LAS COLINAS AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1063,ELLENWOOD DR,LAS COLINAS AVE,,ELLENWOOD DR,LAS COLINAS AVE
-118.1924621,34.1423449,1064,16581,34.14234,-118.19245,EAGLE VISTA DR at HILL DR,Location: EAGLE VISTA DR at HILL DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1064,EAGLE VISTA DR,HILL DR,,EAGLE VISTA DR,HILL DR
-118.1896621,34.1339849,1065,16647,34.13398,-118.18965,FIGUEROA ST at YOSEMITE DR,Location: FIGUEROA ST at YOSEMITE DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1065,FIGUEROA ST,YOSEMITE DR,,FIGUEROA ST,YOSEMITE DR
-118.1917421,34.1356849,1066,16742,34.13568,-118.19173,GLACIER DR at SAGINAW ST,Location: GLACIER DR at SAGINAW ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1066,GLACIER DR,SAGINAW ST,,GLACIER DR,SAGINAW ST
-118.2692621,34.1284549,1067,16799,34.12845,-118.26925,EDENHURST AVE at RIGALI AVE,Location: EDENHURST AVE at RIGALI AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1067,EDENHURST AVE,RIGALI AVE,,EDENHURST AVE,RIGALI AVE
-118.4337153,34.06153723,1068,16886,34.06153235,-118.4337031,WILSHIRE BLVD AT WESTHOLME AVE,Location: WILSHIRE BLVD AT WESTHOLME AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1068,WILSHIRE BLVD,WESTHOLME AVE,,WILSHIRE BLVD,WESTHOLME AVE
-118.437977,34.06035364,1069,16893,34.06034876,-118.4379648,WILSHIRE BLVD AT SELBY AVE,Location: WILSHIRE BLVD AT SELBY AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1069,WILSHIRE BLVD,SELBY AVE,,WILSHIRE BLVD,SELBY AVE
-118.4435022,34.05993488,1070,16896,34.05993,-118.44349,GLENDON AVE AT LINDBROOK DR,Location: GLENDON AVE AT LINDBROOK DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1070,GLENDON AVE,LINDBROOK DR,,GLENDON AVE,LINDBROOK DR
-118.4426022,34.05912488,1071,16907,34.05912,-118.44259,GLENDON AVE AT WILSHIRE BLVD,Location: GLENDON AVE AT WILSHIRE BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1071,GLENDON AVE,WILSHIRE BLVD,,GLENDON AVE,WILSHIRE BLVD
-118.4136501,34.06035319,1072,16912,34.06034831,-118.4136379,CONSTELLATION BLVD AT CENTURY PARK EAST,Location: CONSTELLATION BLVD AT CENTURY PARK EAST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1072,CONSTELLATION BLVD,CENTURY PARK EAST,,CONSTELLATION BLVD,CENTURY PARK EAST
-118.4119571,34.05846946,1073,16913,34.05846458,-118.4119449,OLYMPIC BLVD AT CENTURY PARK EAST,Location: OLYMPIC BLVD AT CENTURY PARK EAST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1073,OLYMPIC BLVD,CENTURY PARK EAST,,OLYMPIC BLVD,CENTURY PARK EAST
-118.4213061,34.05908931,1074,16915,34.05908443,-118.4212939,SANTA MONICA BLVD AT CENTURY PARK WEST,Location: SANTA MONICA BLVD AT CENTURY PARK WEST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1074,SANTA MONICA BLVD,CENTURY PARK WEST,,SANTA MONICA BLVD,CENTURY PARK WEST
-118.4190722,34.05649818,1075,16936,34.0564933,-118.41906,CONSTELLATION BLVD AT CENTURY PARK WEST,Location: CONSTELLATION BLVD AT CENTURY PARK WEST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1075,CONSTELLATION BLVD,CENTURY PARK WEST,,CONSTELLATION BLVD,CENTURY PARK WEST
-118.3991178,34.05495239,1076,16957,34.05494751,-118.3991057,PICO BLVD AT BEVERWIL DR,Location: PICO BLVD AT BEVERWIL DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1076,PICO BLVD,BEVERWIL DR,,PICO BLVD,BEVERWIL DR
-118.4294751,34.05393722,1077,16971,34.05393234,-118.4294629,WESTHOLME AVE AT SANTA MONICA BLVD,Location: WESTHOLME AVE AT SANTA MONICA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1077,WESTHOLME AVE,SANTA MONICA BLVD,,WESTHOLME AVE,SANTA MONICA BLVD
-118.4162121,34.05318094,1078,16980,34.05317606,-118.4162,CENTURY PARK WEST AT OLYMPIC BLVD,Location: CENTURY PARK WEST AT OLYMPIC BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1078,CENTURY PARK WEST,OLYMPIC BLVD,,CENTURY PARK WEST,OLYMPIC BLVD
-118.4284109,34.05420647,1079,16986,34.05420159,-118.4283987,WESTHOLME AVE at SANTA MONICA BLVD,Location: WESTHOLME AVE at SANTA MONICA BLVD\nData not available yet,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1079,WESTHOLME AVE,SANTA MONICA BLVD,,WESTHOLME AVE,SANTA MONICA BLVD
-118.4432183,34.05249527,1080,16992,34.05249039,-118.4432061,OHIO AVE AT VETERAN AVE,Location: OHIO AVE AT VETERAN AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1080,OHIO AVE,VETERAN AVE,,OHIO AVE,VETERAN AVE
-118.3985961,34.05238396,1081,16996,34.05237908,-118.398584,BEVERWIL DR AT CASHIO ST,Location: BEVERWIL DR AT CASHIO ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1081,BEVERWIL DR,CASHIO ST,,BEVERWIL DR,CASHIO ST
-118.4318947,34.05188293,1082,17007,34.05187805,-118.4318825,PELHAM AVE AT SANTA MONICA BLVD,Location: PELHAM AVE AT SANTA MONICA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1082,PELHAM AVE,SANTA MONICA BLVD,,PELHAM AVE,SANTA MONICA BLVD
-118.4387601,34.05185312,1083,17010,34.05184824,-118.438748,WESTWOOD BLVD AT MASSACHUSETTS AVE,Location: WESTWOOD BLVD AT MASSACHUSETTS AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1083,WESTWOOD BLVD,MASSACHUSETTS AVE,,WESTWOOD BLVD,MASSACHUSETTS AVE
-118.4003346,34.05220509,1084,17011,34.05220021,-118.4003225,CASTELLO AVE AT CASHIO ST,Location: CASTELLO AVE AT CASHIO ST,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1084,CASTELLO AVE,CASHIO ST,,CASTELLO AVE,CASHIO ST
-118.4309987,34.05084407,1085,17026,34.05083919,-118.4309866,PELHAM AVE AT MISSOURI AVE,Location: PELHAM AVE AT MISSOURI AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1085,PELHAM AVE,MISSOURI AVE,,PELHAM AVE,MISSOURI AVE
-118.4318841,34.05031515,1086,17034,34.05031027,-118.4318719,OVERLAND AVE AT MISSOURI AVE,Location: OVERLAND AVE AT MISSOURI AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1086,OVERLAND AVE,MISSOURI AVE,,OVERLAND AVE,MISSOURI AVE
-118.3985841,34.04935091,1087,17048,34.04934603,-118.398572,BEVERWIL DR AT MONTE MAR DR,Location: BEVERWIL DR AT MONTE MAR DR,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1087,BEVERWIL DR,MONTE MAR DR,,BEVERWIL DR,MONTE MAR DR
-118.4246112,34.04810313,1088,17072,34.04809825,-118.424599,OLYMPIC BLVD AT PROSSER AVE,Location: OLYMPIC BLVD AT PROSSER AVE,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1088,OLYMPIC BLVD,PROSSER AVE,,OLYMPIC BLVD,PROSSER AVE
-118.4443132,34.04763053,1089,17077,34.04762565,-118.4443011,SANTA MONICA BLVD AT SEPULVEDA BLVD,Location: SANTA MONICA BLVD AT SEPULVEDA BLVD,http://navigatela.lacity.org/navigatela/reports/dot_traffic_data_report.cfm?trafficid=1089,SANTA MONICA BLVD,SEPULVEDA BLVD,,SANTA MONICA BLVD,SEPULVEDA BLVD
